name,ra_deg,dec_deg,type,common_name,magnitude,major_axis_arcmin
M1,83.6331,22.0145,Supernova Remnant,Crab Nebula,8.40,8.00
M2,323.3626,-0.8233,Globular Cluster,,6.25,8.40
M3,205.5484,28.3773,Globular Cluster,,6.39,16.20
M4,245.8968,-26.5258,Globular Cluster,,5.40,28.20
M5,229.6384,2.0811,Globular Cluster,,5.95,15.00
M6,265.0833,-32.2167,Open Cluster,Butterfly Cluster,4.20,15.60
M7,268.4667,-34.7933,Open Cluster,Ptolemy Cluster,3.30,22.20
M8,270.9042,-24.3800,Nebula,Lagoon Nebula,5.80,45.00
M9,259.7980,-18.5163,Globular Cluster,,8.42,6.90
M10,254.2877,-4.1003,Globular Cluster,,4.98,9.30
M11,282.7667,-6.2667,Open Cluster,Wild Duck Cluster,5.80,9.00
M12,251.8092,-1.9483,Globular Cluster,,6.07,11.10
M13,250.4218,36.4613,Globular Cluster,Great Hercules Cluster,5.80,16.50
M14,264.4004,-3.2458,Globular Cluster,,5.73,
M15,322.4930,12.1670,Globular Cluster,,6.30,11.10
M16,274.7000,-13.8067,Nebula,Eagle Nebula,6.00,120.00
M17,275.1958,-16.1725,Nebula,Omega Nebula,7.00,12.60
M18,275.2375,-17.1200,Open Cluster,,6.90,6.00
M19,255.6573,-26.2680,Globular Cluster,,5.57,7.50
M20,270.6225,-23.0300,Nebula,Trifid Nebula,8.50,28.00
M21,270.9833,-22.4900,Open Cluster,,5.90,6.00
M22,279.0998,-23.9047,Globular Cluster,,6.17,12.60
M23,269.2667,-19.0167,Open Cluster,,5.50,16.80
M24,274.7250,-18.5167,Star Cloud,Sagittarius Star Cloud,4.50,120.00
M25,277.9250,-19.1167,Open Cluster,,4.60,14.10
M26,281.3208,-9.3833,Open Cluster,,8.87,6.00
M27,299.9015,22.7213,Planetary Nebula,Dumbbell Nebula,7.40,6.70
M28,276.1363,-24.8703,Globular Cluster,,6.90,5.10
M29,305.9958,38.5083,Open Cluster,,6.60,3.60
M30,325.0922,-23.1799,Globular Cluster,,7.10,9.00
M31,10.6848,41.2688,Galaxy,Andromeda Galaxy,3.44,177.83
M32,10.6743,40.8652,Galaxy,,8.13,7.74
M33,23.4621,30.6602,Galaxy,Triangulum Galaxy,5.79,62.09
M34,40.5167,42.7667,Open Cluster,,5.20,22.50
M35,92.2500,24.3333,Open Cluster,,5.10,24.00
M36,84.0833,34.1333,Open Cluster,,6.00,7.20
M37,88.0708,32.5517,Open Cluster,,5.60,11.40
M38,82.1667,35.8333,Open Cluster,,6.40,9.60
M39,323.0583,48.4333,Open Cluster,,4.60,19.50
M40,185.5500,58.0833,Double Star,Winnecke 4,8.4,0.8
M41,101.5042,-20.7583,Open Cluster,,4.50,12.00
M42,83.8221,-5.3911,Nebula,Orion Nebula,4.00,90.00
M43,83.8917,-5.2667,Nebula,De Mairan's Nebula,9.00,20.00
M44,130.0250,19.6683,Open Cluster,Beehive Cluster,3.10,108.60
M45,56.8500,24.1167,Open Cluster,Pleiades,1.6,110.0
M46,115.4583,-14.8167,Open Cluster,,6.10,21.00
M47,114.1500,-14.4833,Open Cluster,,4.40,19.80
M48,123.4167,-5.7500,Open Cluster,,5.80,28.20
M49,187.4450,7.9994,Galaxy,,8.28,10.21
M50,105.6833,-8.3500,Open Cluster,,5.90,14.10
M51,202.4696,47.1952,Galaxy,Whirlpool Galaxy,8.36,13.71
M52,351.2000,61.5833,Open Cluster,,6.90,9.90
M53,198.2302,18.1683,Globular Cluster,,7.79,9.00
M54,283.7636,-30.4783,Globular Cluster,,7.70,5.10
M55,294.9988,-30.9647,Globular Cluster,,6.49,12.00
M56,289.1482,30.1836,Globular Cluster,,8.40,5.80
M57,283.3963,33.0289,Planetary Nebula,Ring Nebula,8.80,1.27
M58,189.4312,11.8181,Galaxy,,10.30,5.01
M59,190.5092,11.6472,Galaxy,,9.56,4.55
